Grand Prix,Driver,Car,Time,Year
Great Britain,Kimi RäikkönenRAI,McLaren Mercedes,1:20.502,2005
Germany,Kimi RäikkönenRAI,McLaren Mercedes,1:14.873,2005
Hungary,Kimi RäikkönenRAI,McLaren Mercedes,1:21.219,2005
Turkey,Juan Pablo MontoyaMOY,McLaren Mercedes,1:24.770,2005
Italy,Kimi RäikkönenRAI,McLaren Mercedes,1:21.504,2005
Belgium,Ralf SchumacherRSC,Toyota,1:51.453,2005
Brazil,Kimi RäikkönenRAI,McLaren Mercedes,1:12.268,2005
Japan,Kimi RäikkönenRAI,McLaren Mercedes,1:31.540,2005
China,Kimi RäikkönenRAI,McLaren Mercedes,1:33.242,2005
Bahrain,Nico RosbergROS,Williams Cosworth,1:32.408,2006
Malaysia,Fernando AlonsoALO,Renault,1:34.803,2006
Australia,Kimi RäikkönenRAI,McLaren Mercedes,1:26.045,2006
San Marino,Fernando AlonsoALO,Renault,1:24.569,2006
Europe,Michael SchumacherMSC,Ferrari,1:32.099,2006
Spain,Felipe MassaMAS,Ferrari,1:16.648,2006
Monaco,Michael SchumacherMSC,Ferrari,1:15.143,2006
Great Britain,Fernando AlonsoALO,Renault,1:21.599,2006
Canada,Kimi RäikkönenRAI,McLaren Mercedes,1:15.841,2006
United States,Michael SchumacherMSC,Ferrari,1:12.719,2006
France,Michael SchumacherMSC,Ferrari,1:17.111,2006
Germany,Michael SchumacherMSC,Ferrari,1:16.357,2006
Hungary,Felipe MassaMAS,Ferrari,1:23.516,2006
Turkey,Michael SchumacherMSC,Ferrari,1:28.005,2006
Italy,Kimi RäikkönenRAI,McLaren Mercedes,1:22.559,2006
China,Fernando AlonsoALO,Renault,1:37.586,2006
Japan,Fernando AlonsoALO,Renault,1:32.676,2006
Brazil,Michael SchumacherMSC,Ferrari,1:12.162,2006
